name,sn_mva,vn_hv_kv,vn_lv_kv,vk_percent,vkr_percent,pfe_kw,i0_percent,shift_degree,vk0_percent,vkr0_percent,mag0_percent,mag0_rx,si0_hv_partial
ТДН-10000/110_115,10,115,11.00,10.5,2,27,0.9,330,,,,,
ТДН-16000/110_115,16,115,11.00,10.5,2,26,0.85,330,,,,,
ТДН-25000/110_115,25,115,10.5,10.5,2,36,0.8,330,,,,,
ТМ-10_6.3,0.01,6.3,0.4,5.5,2,0.105,10,0,,,,,
ТМ-10_10.5,0.01,10.5,0.4,5.5,2,0.105,10,0,,,,,
ТМ-100_10.5,0.1,10.5,0.4,4.5,2,0.365,2.6,0,,1.97,,,
ТМ-100_6.3,0.1,6.3,0.4,4.5,2,0.31,2.6,0,,,,,
ТМ-1000_10,1,10,0.4,5.5,2,3.8,3,0,,1.22,,,
ТМ-1000_10.5,1,10.5,0.4,5.5,2,3.8,3,0,,1.22,,,
ТМ-160_6.3,0.16,6.3,0.4,4.5,2,0.54,2.4,0,,1.65,,,
ТМ-160_10,0.16,10,0.4,4.5,2,0.54,2.4,0,,1.65,,,
ТМ-160_10.5,0.16,10.5,0.4,4.5,2,0.54,2.4,0,,1.65,,,
ТМ-1600_10,1.6,10,0.4,5.5,2,3.3,1.3,0,,1.125,,,
ТМ-1600_10.5,1.6,10.5,0.4,5.5,2,3.3,1.3,0,,1.125,,,
ТМ-170_10.5,0.17,10.5,0.4,5.5,2,0.54,2.4,0,,,,,
ТМ-180_10.5,0.18,10.5,0.4,5.5,2,1.2,7,0,,,,,
ТМ-180_6.3,0.18,6.3,0.4,5.5,2,1,6,0,,,,,
ТМ-1800_10.5,1.8,10.5,0.4,5.5,2,8,4.5,0,,,,,
ТМ-20_10.5,0.02,10.5,0.4,5.5,2,0.22,10,0,,,,,
ТМ-200_6.3,0.2,6.3,0.4,5.5,2,1.2,7,0,,,,,
ТМ-200_10.5,0.2,10.5,0.4,5.5,2,1.2,7,0,,,,,
ТМ-25_10.5,0.025,10.5,0.4,4.7,2,0.125,3.2,0,,2.4,,,
ТМ-16_10.5,0.016,10.5,0.4,4.7,2,0.125,3.2,,,2.4,,,
ТМГ-16_10.5,0.016,10.5,0.4,4.7,2,0.125,3.2,,,2.4,,,
ТМГ-25_10.5,0.025,10.5,0.4,4.7,2,0.125,3.2,0,,2.4,,,
ТМГ-40_10.5,0.04,10.5,0.4,4.5,2,0.18,3,0,,2.2,,,
ТМГ-63_10.5,0.063,10.5,0.4,4.5,2,0.265,2.8,0,,2.03,,,
ТМГ-100_6.3,0.1,6.3,0.4,4.5,2,0.31,2.6,0,,,,,
ТМГ-160_10,0.16,10,0.4,4.5,2,0.54,2.4,0,,1.65,,,
TTV-400_10.5,0.4,10.5,0.4,4.5,2,1.45,2.1,0,,1.37,,,
ТМ-250_6.3,0.25,6.3,0.4,4.5,2,01.05,2.3,0,,1.48,,,
ТМ-250_10.5,0.25,10.5,0.4,4.5,2,01.05,2.3,0,,1.48,,,
ТМ-250_21,0.26,21,0.4,5.5,2,0.7,7,0,,,,,
ТМ-2500_10.5,2.5,10.5,0.4,5.5,2,6.2,3.5,0,,1,,,
ТМ-2500_35,2.5,35,10.5,6.5,2,5.1,1.1,0,,,,,
ТМ-30_10.5,0.03,10.5,0.4,5.5,2,0.3,9,0,,,,,
ТМ-300_10.5,0.3,10.5,0.4,5.5,2,1.5,6,0,,,,,
ТМ-315_10.5,0.315,10.5,0.4,4.5,2,0.831,2.2,0,,,,,
ТМ-315_6.3,0.315,6.3,0.4,5.5,2,1.6,7,0,,,,,
ТМ-320_10.5,0.32,10.5,0.4,5.5,2,1.9,7,0,,,,,
ТМ-320_6.3,0.32,6.3,0.4,5.5,2,1.6,6,0,,,,,
ТМ-380_10.5,0.38,10.5,0.4,4.5,2,0.92,2.1,0,,,,,
ТМ-40_10.5,0.04,10.5,0.4,4.5,2,0.18,3,0,,2.2,,,
ТМ-400_10.5,0.4,10.5,0.4,4.5,2,1.45,2.1,0,,1.37,,,
ТМ-400_6.3,0.4,6.3,0.4,4.5,2,01.08,2.1,0,,,,,
ТМ-4000_10.5,4,10.5,0.4,5.5,2,8.5,3,0,,0.83,,,
ТМ-4000/35_35,4,35,10.5,7.5,2,6.7,1,0,,,,,
ТМ-50_6.3,0.05,6.3,0.4,5.5,2,0.35,7,0,,,,,
ТМ-50_10.5,0.05,10.5,0.4,5.5,2,0.44,8,0,,,,,
ТМ-500_10.5,0.5,10.5,0.4,5,2,1.1,2,0,,,,,
ТМ-560_10.5,0.56,10.5,0.4,5.5,2,2.5,6,0,,,,,
ТМ-5600_10.5,5.6,10.5,0.4,6.5,2,6.1,1.1,0,,,,,
ТМ-60_10.5,0.06,10.5,0.4,5.5,2,0.26,2.9,0,,,,,
ТМ-63_10.5,0.063,10.5,0.4,4.5,2,0.265,2.8,0,,2.03,,,
ТМ-630_10.5,0.63,10.5,0.4,5.5,2,2.27,2,0,,1.65,,,
ТМ-630_6.3,0.63,6.3,0.4,5.5,2,1.68,2,0,,,,,
ТМ-6300_10.5,6.3,10.5,0.4,7.5,2,9.4,0.9,0,,,,,
ТМ-6300/110_110,6.3,110,11,10.5,2,27.3,3.7,0,,,,,
ТМ-6300/35_35,6.3,35,10.5,7.5,2,9.4,0.9,0,,,,,
ТМ-75_6.3,0.075,6.3,0.4,5.5,2,0.29,7.5,0,,,,,
ТМ-800_10.5,0.8,10.5,0.4,5.5,2,4.1,6,0,,,,,
ТМВ-630_10.5,0.63,10.5,0.4,5.5,2,1.31,2,0,,,,,
ТМВГ-250_10.5,0.25,10.5,0.4,4.5,2,01.05,2.3,0,,,,,
ТМВМ-1000_10.5,1,10.5,0.4,5.5,2,2.1,1.4,0,,,,,
ТМВМ-630_10.5,0.63,10.5,0.4,5.5,2,1.31,2,0,,,,,
ТМВН-630_10.5,0.63,10.5,0.4,5.5,2,1.31,2,0,,,,,
ТМГ-250_10.5,0.25,10.5,0.4,4.5,2,01.05,2.3,0,,,,,
ТМГ-400_10.5,0.4,10.5,0.4,4.5,2,1.1,5.5,0,,,,,
ТМГ-630_10.5,0.63,10.5,0.4,5.5,2,1.31,2,0,,,,,
ТМГ-1250_10.5,1.25,10.5,0.4,5.5,2,1.31,2,0,,,,,
ТМЗ-1000_10.5,1,10.5,0.4,5.5,2,3.1,2.5,0,,,,,
ТМЗ-1385_10.5,1.385,10.5,0.4,5.5,2,2.6,2.5,0,,,,,
ТМЗ-400_10.5,0.4,10.5,0.4,5.5,2,1.46,3,0,,,,,
ТМЗ-630_10.5,0.63,10.5,0.4,5.5,2,2.3,3,0,,,,,
ТМЗ-750_10.5,0.75,10.5,0.4,5.5,2,2.7,6,0,,,,,
ТМН--1600/35_35,1.6,35,11,6.5,2,3.65,1.4,330,,,,,
ТМН-1000_10.5,1,10.5,0.4,5.5,2,2.45,2.8,0,,,,,
ТМН-1000/35_35,1,35,11,6.5,2,2.75,1.5,330,,,,,
ТМН-10000/110_115,10,115,11.00,10.5,2,18,0.9,330,,,,,
ТМН-1600_10.5,1.6,10.5,0.4,5.5,2,3.3,2.6,0,,,,,
ТМН-1800_10.5,1.8,10.5,0.4,5.5,2,3.65,1.1,0,,,,,
ТМН-2500_10.5,2.5,10.5,0.4,5.5,2,6.2,3.5,0,,,,,
ТМН-2500/110_110,2.5,110,11.00,10.5,2,13,1,330,,,,,
ТМН-4000/35_35,4,35,11,7.5,2,6.7,1,330,,,,,
ТМН-6300_35,6.3,35,11,7.5,2,9.4,0.9,330,,,,,
ТМН-6300/110_115,6.3,115,11.00,10.5,2,13,1,330,,,,,
ТМН/2500/35_35,2.5,35,11,6.5,2,5.1,1.1,330,,,,,
ТМПУ-1000_10.5,1,10.5,0.4,5.5,2,2.1,1.4,0,,,,,
ТНЗ-25_10.5,0.025,10.5,0.4,4.5,2,0.12,3,0,,,,,
ТНЗ-40_10.5,0.04,10.5,0.4,4.5,2,0.15,3,0,,,,,
ТР-160_10.5,0.16,10.5,0.4,4.5,2,0.49,2.4,0,,,,,
ТР-250_10.5,0.25,10.5,0.4,4.5,2,0.66,2.3,0,,,,,
ТР-315_10.5,0.315,10.5,0.4,5.8,2,1.15,5.6,0,,,,,
ТРДН-25000/35_36.75,25,36.75,10.5,9.5,2,29,0.7,330,,,,,
ТРДН-32000/110_115,32,115,10.5,10.5,2,44,0.75,330,,,,,
ТРДН-32000/35_36.75,32,36.75,10.5,11.5,2,29,0.7,330,,,,,
ТРДН-40000/110_115,40,115,10.5,10.5,2,52,0.7,330,,,,,
ТРДН-40000/35_36.75,40,36.75,10.5,9.5,2,39,0.6,330,,,,,
ТС-180_10.5,0.18,10.5,0.4,5.5,2,1.6,4,0,,,,,
ТС-250_10.5,0.25,10.5,0.4,5.5,2,1,3.5,0,,,,,
ТС-320_10.5,0.32,10.5,0.4,5.5,2,2.6,3.5,0,,,,,
ТС-400_10.5,0.4,10.5,0.4,5.5,2,1.3,3,0,,,,,
ТС-560_10.5,0.56,10.5,0.4,5.5,2,3.5,3,0,,,,,
ТС-750_10.5,0.75,10.5,0.4,5.5,2,4,2.5,0,,,,,
ТСЗ-1000_10.5,1,10.5,0.4,5.5,2,3,2.5,0,,,,,
ТСЗ-160_10.5,0.16,10.5,0.4,5.5,2,0.7,4,0,,,,,
ТСЗ-1600_10.5,1.6,10.5,0.4,5.5,2,4.2,2.5,0,,,,,
ТСЗ-250_10.5,0.25,10.5,0.4,5.5,2,1,3.5,0,,,,,
ТСЗ-400_10.5,0.4,10.5,0.4,5.5,2,1.3,3,0,,,,,
ТСЗ-630_10.5,0.63,10.5,0.4,5.5,2,2,3,0,,,,,
ТСМ-100_10.5,0.1,10.5,0.4,4.5,2,0.5,6.5,0,,,,,
ТСМ-1000_10.5,1,10.5,0.4,5.5,2,2.45,1.4,0,,,,,
ТСМ-160_10.5,0.16,10.5,0.4,4.5,2,0.54,2.4,0,,,,,
ТСМ-180_6.3,0.18,6.3,0.4,4.5,2,0.8,6,0,,,,,
ТСМ-180_10.5,0.18,10.5,0.4,5.5,2,1.2,7,0,,,,,
ТСМ-20_10.5,0.02,10.5,0.4,4.5,2,0.15,9.5,0,,,,,
ТСМ-200_10.5,0.2,10.5,0.4,5.5,2,1.2,7,0,,,,,
ТСМ-250_10.5,0.25,10.5,0.4,5.5,2,0.78,3.5,0,,,,,
ТСМ-30_10.5,0.03,10.5,0.4,4.5,2,0.16,9.5,0,,,,,
ТСМ-315_10.5,0.315,10.5,0.4,5.5,2,1.5,7,0,,,,,
ТСМ-320_10.5,0.32,10.5,0.4,4.5,2,1.35,5.5,0,,,,,
ТСМ-35_10.5,0.035,10.5,0.4,4.5,2,0.23,8.5,0,,,,,
ТСМ-50_10.5,0.05,10.5,0.4,5.5,2,0.35,2.9,0,,,,,
ТСМ-560_10.5,0.56,10.5,0.4,4.5,2,2,5,0,,,,,
ТСМ-60_10.5,0.06,10.5,0.4,4.5,2,0.35,7.5,0,,,,,
ТСМ-63_10.5,0.063,10.5,0.4,4.5,2,0.35,7.5,0,,,,,
ТСМ-630_10.5,0.63,10.5,0.4,5.5,2,1.68,6,0,,,,,
ТСМ-750_10.5,0.75,10.5,0.4,5.5,2,4.1,6,0,,,,,
ТСМА-100_10.5,0.1,10.5,0.4,5.5,2,0.4,7.5,0,,,,,
ТСМА-160_10.5,0.16,10.5,0.4,4.5,2,0.8,6,0,,,,,
ТСМА-180_6.3,0.18,6.3,0.4,4.5,2,1,6,0,,,,,
ТСМА-20_10.5,0.02,10.5,0.4,5.5,2,0.3,8,0,,,,,
ТСМА-200_10.5,0.2,10.5,0.4,5.5,2,1.2,7,0,,,,,
ТСМА-250_10.5,0.25,10.5,0.4,5.5,2,0.7,3.5,0,,,,,
ТСМА-30_10.5,0.03,10.5,0.4,5.5,2,0.4,9,0,,,,,
ТСМА-315_10.5,0.315,10.5,0.4,5.5,2,1.6,3.5,0,,,,,
ТСМА-40_10.5,0.04,10.5,0.4,4.5,2,0.5,7,0,,,,,
ТСМА-50_10.5,0.05,10.5,0.4,5.5,2,0.5,8,0,,,,,
ТСМА-560_10.5,0.56,10.5,0.4,5.5,2,2.5,6,0,,,,,
ТСМА-63_10.5,0.063,10.5,0.4,4.5,2,0.57,2.8,0,,,,,
ТСМА-630_10.5,0.63,10.5,0.4,5.5,2,1.7,2,0,,,,,
ТСМА-750_10.5,0.75,10.5,0.4,5.5,2,4.1,6,0,,,,,
ТТV-630_10.5,0.63,10.5,0.4,5.6,2,1.26,2,0,,,,,
HT-200_10.5,0.2,10.5,0.4,5.3,2,0.856,5.7,0,,,,,
TE-315_10.5,0.315,10.5,0.4,5.8,2,1.15,5.6,0,,,,,
TON-160_10.5,0.16,10.5,0.4,4.9,2,0.389,2.6,0,,,,,
TON-200_10.5,0.2,10.5,0.4,5.3,2,0.59,5.7,0,,,,,
TTU-200_10.5,0.2,10.5,0.4,5.3,2,0.856,1.5,0,,,,,
TTU-250_10.5,0.25,10.5,0.4,4.5,2,0.66,2.3,0,,,,,
TTU-315_10.5,0.315,10.5,0.4,5.5,2,0.84,1.1,0,,,,,
TTU-400_10.5,0.4,10.5,0.4,4.5,2,0.92,2.1,0,,,,,
TTU-630_10.5,0.63,10.5,0.4,5.6,2,1.26,2,0,,,,,
TZ-200_10.5,0.2,10.5,0.4,5.2,2,0.688,5.8,0,,,,,
UTI-200_10.5,0.2,10.5,0.4,5,2,0.87,5.8,0,,,,,